courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 21,1,2009-2010,U,5L,2016-09962
CMSC 190-2,1,2008-2009,Y,4L,2016-55259
CMSC 123,1,2011-2012,W,4L,2013-97621
CMSC 150,2,2007-2008,V,6L,2019-81159
CMSC 170,1,2007-2008,Z,6L,2013-91912
CMSC 150,2,2006-2007,W,5L,2011-21785
CMSC 21,2,2008-2009,X,6L,2016-70524
CMSC 132,2,2014-2015,V,1L,2017-11774
CMSC 190-2,1,2009-2010,X,1L,2013-52418
CMSC 123,1,2011-2012,V,5L,2014-87568
CMSC 2,1,2015-2016,U,5L,2016-33595
CMSC 128,1,2012-2013,W,2L,2012-72146
CMSC 198,1,2007-2008,X,6L,2017-71796
CMSC 11,2,2008-2009,U,5L,2010-58992
CMSC 124,2,2014-2015,Y,6L,2019-46250
CMSC 190-2,1,2009-2010,Y,5L,2015-15945
CMSC 128,1,2012-2013,V,3L,2018-73574
CMSC 11,2,2009-2010,V,1L,2012-67527
CMSC 190-2,1,2010-2011,Z,5L,2011-48787
CMSC 2,1,2008-2009,V,4L,2018-47452
CMSC 150,2,2006-2007,U,1L,2015-46190
CMSC 198,2,2008-2009,U,3L,2017-06239
CMSC 128,2,2010-2011,Y,1L,2013-72854
CMSC 130,2,2010-2011,Y,5L,2017-50234
CMSC 2,2,2014-2015,V,4L,2014-56636
CMSC 191,1,2008-2009,Y,1L,2013-27362
CMSC 123,2,2013-2014,V,6L,2011-23248
CMSC 198,1,2014-2015,V,4L,2018-88250
CMSC 190-1,1,2011-2012,Y,6L,2017-10242
CMSC 124,1,2006-2007,U,1L,2014-93103
CMSC 11,1,2010-2011,Z,5L,2013-24274
CMSC 198,1,2009-2010,V,4L,2013-21160
CMSC 132,1,2008-2009,W,1L,2014-32736
CMSC 124,2,2006-2007,W,4L,2017-11254
CMSC 150,1,2013-2014,U,4L,2011-66141
CMSC 128,2,2006-2007,W,1L,2014-19648
CMSC 125,1,2007-2008,U,1L,2017-42796
CMSC 198,2,2006-2007,Z,5L,2013-17786
CMSC 150,2,2006-2007,Y,5L,2013-71999
CMSC 128,2,2008-2009,W,2L,2011-20919
CMSC 161,1,2009-2010,Y,1L,2015-65158
CMSC 190-1,2,2012-2013,U,6L,2014-07095
CMSC 131,1,2010-2011,W,1L,2011-45474
CMSC 161,1,2011-2012,X,6L,2012-11630
CMSC 165,1,2011-2012,Y,3L,2012-02593
CMSC 2,1,2012-2013,Y,3L,2016-98368
CMSC 21,2,2006-2007,Z,4L,2018-41096
CMSC 165,1,2014-2015,X,4L,2010-20142
CMSC 21,1,2007-2008,X,3L,2010-83710
CMSC 165,2,2010-2011,W,5L,2013-40951
CMSC 170,2,2012-2013,X,3L,2010-62289
CMSC 11,2,2014-2015,Y,6L,2014-74628
CMSC 165,2,2012-2013,X,5L,2011-05089
CMSC 123,2,2007-2008,W,1L,2018-01313
CMSC 131,1,2010-2011,W,3L,2016-41938
CMSC 123,1,2012-2013,Y,2L,2013-88775
CMSC 170,1,2013-2014,X,6L,2016-04762
CMSC 132,2,2010-2011,Y,4L,2015-72670
CMSC 130,1,2010-2011,Z,5L,2015-15935
CMSC 191,1,2014-2015,Y,2L,2011-33670
CMSC 22,1,2015-2016,Z,5L,2013-44120
CMSC 22,1,2015-2016,Y,5L,2010-52325
CMSC 125,2,2012-2013,W,1L,2018-43486
CMSC 128,2,2013-2014,V,6L,2017-24616
CMSC 198,2,2012-2013,Y,4L,2019-02150
CMSC 131,1,2009-2010,V,5L,2010-55229
CMSC 123,1,2015-2016,W,5L,2017-98914
CMSC 131,2,2014-2015,X,4L,2016-65369
CMSC 150,1,2012-2013,W,6L,2017-24725
CMSC 128,1,2014-2015,V,1L,2011-26114
CMSC 21,2,2015-2016,X,6L,2018-30516
CMSC 190-2,2,2006-2007,V,1L,2011-86158
CMSC 128,2,2011-2012,W,4L,2019-54783
CMSC 131,1,2008-2009,Y,1L,2013-67348
CMSC 190-2,2,2012-2013,W,1L,2014-13015
CMSC 161,2,2010-2011,W,2L,2019-01356
CMSC 198,2,2006-2007,Z,6L,2013-72480
CMSC 165,1,2007-2008,Y,3L,2013-14315
CMSC 161,1,2008-2009,W,2L,2013-82685
CMSC 125,1,2014-2015,W,5L,2019-68305
CMSC 190-2,2,2011-2012,V,1L,2019-35548
CMSC 21,2,2015-2016,Y,3L,2011-14547
CMSC 150,2,2011-2012,V,2L,2011-77571
CMSC 130,1,2008-2009,W,5L,2017-59135
CMSC 128,2,2006-2007,X,1L,2012-82167
CMSC 130,2,2008-2009,X,5L,2019-60709
CMSC 128,1,2012-2013,U,1L,2010-11848
CMSC 170,2,2015-2016,W,6L,2012-58380
CMSC 124,1,2010-2011,Z,3L,2018-85587
CMSC 161,1,2013-2014,X,2L,2017-31613
CMSC 161,2,2014-2015,W,6L,2012-76084
CMSC 132,1,2011-2012,V,1L,2014-48985
CMSC 125,1,2011-2012,W,1L,2018-90813
CMSC 11,2,2011-2012,V,6L,2016-91900
CMSC 2,1,2008-2009,W,1L,2018-57218
CMSC 191,1,2007-2008,X,2L,2014-37410
CMSC 198,2,2010-2011,U,2L,2012-21976
CMSC 123,2,2007-2008,W,5L,2017-37064
CMSC 123,2,2006-2007,V,5L,2011-09877
CMSC 125,1,2006-2007,Z,5L,2016-99239
CMSC 190-2,1,2007-2008,U,5L,2017-30977
CMSC 123,1,2013-2014,Y,1L,2012-93829
CMSC 2,2,2010-2011,Y,6L,2013-29793
CMSC 165,1,2006-2007,U,1L,2016-57550
CMSC 150,1,2011-2012,X,2L,2015-98967
CMSC 150,2,2006-2007,Y,4L,2017-26261
CMSC 125,2,2007-2008,V,6L,2018-64291
CMSC 128,2,2008-2009,V,3L,2011-92704
CMSC 124,2,2012-2013,Y,2L,2018-77613
CMSC 190-1,2,2013-2014,X,6L,2012-74058
CMSC 132,1,2012-2013,W,3L,2010-88013
CMSC 22,2,2010-2011,W,3L,2013-19136
CMSC 124,1,2010-2011,Z,4L,2016-96101
CMSC 125,1,2015-2016,Z,1L,2017-51651
CMSC 2,2,2013-2014,X,4L,2015-16596
CMSC 125,2,2010-2011,U,4L,2010-68109
CMSC 130,1,2007-2008,V,4L,2019-52271
CMSC 165,2,2014-2015,U,2L,2013-85088
CMSC 21,2,2014-2015,Z,6L,2015-37418
CMSC 124,1,2007-2008,W,6L,2017-07211
CMSC 128,2,2012-2013,Z,3L,2011-35356
CMSC 161,1,2010-2011,X,1L,2018-61696
CMSC 128,1,2013-2014,Z,1L,2012-93849
CMSC 125,1,2013-2014,W,3L,2018-60675
CMSC 165,2,2006-2007,X,5L,2016-60730
CMSC 190-2,2,2014-2015,W,2L,2010-48174
CMSC 123,1,2015-2016,Y,5L,2011-90933
CMSC 21,1,2010-2011,Y,5L,2012-34666
CMSC 11,1,2008-2009,V,1L,2018-38366
CMSC 190-1,2,2013-2014,Y,5L,2011-70922
CMSC 123,2,2006-2007,X,6L,2017-08812
CMSC 130,1,2014-2015,Y,1L,2013-46101
CMSC 22,1,2006-2007,U,2L,2015-80092
CMSC 132,1,2014-2015,U,1L,2014-26884
CMSC 130,1,2013-2014,Y,6L,2015-93980
CMSC 130,1,2013-2014,V,4L,2016-17734
CMSC 165,2,2009-2010,Z,1L,2010-18456
CMSC 165,1,2012-2013,Z,6L,2019-05016
CMSC 124,1,2011-2012,U,6L,2012-14512
CMSC 124,2,2007-2008,Z,5L,2015-71288
CMSC 191,2,2010-2011,V,2L,2018-78356
CMSC 161,2,2010-2011,Y,1L,2018-44115
CMSC 190-2,2,2008-2009,U,5L,2012-40377
CMSC 11,1,2012-2013,Y,6L,2018-29254
CMSC 131,1,2015-2016,V,3L,2011-28066
CMSC 128,2,2013-2014,U,3L,2013-28747
CMSC 130,1,2012-2013,W,2L,2013-18070
CMSC 165,2,2013-2014,X,6L,2019-10986
CMSC 130,1,2012-2013,W,5L,2012-38233
CMSC 170,2,2006-2007,V,5L,2015-31833
CMSC 130,1,2014-2015,X,4L,2015-87114
CMSC 165,1,2011-2012,X,2L,2010-39570
CMSC 161,2,2014-2015,V,5L,2014-12171
CMSC 123,1,2007-2008,W,2L,2015-83314
CMSC 170,2,2015-2016,W,6L,2019-90841
CMSC 198,1,2014-2015,X,1L,2018-82892
CMSC 11,2,2009-2010,U,5L,2016-80028
CMSC 190-1,1,2008-2009,X,3L,2019-65896
CMSC 123,1,2007-2008,X,1L,2010-90267
CMSC 132,1,2013-2014,Y,2L,2011-17189
CMSC 165,2,2011-2012,Z,2L,2019-99184
CMSC 165,2,2009-2010,V,2L,2010-78944
CMSC 191,2,2007-2008,U,1L,2017-83435
CMSC 150,2,2013-2014,U,2L,2017-22498
CMSC 128,2,2014-2015,X,2L,2019-71345
CMSC 125,2,2008-2009,Z,4L,2010-06199
CMSC 2,1,2014-2015,V,1L,2012-07851
CMSC 150,2,2013-2014,Z,5L,2011-68731
CMSC 22,2,2013-2014,Z,2L,2016-15129
CMSC 150,2,2015-2016,U,1L,2017-48538
CMSC 190-1,2,2007-2008,Z,5L,2019-39568
CMSC 161,2,2013-2014,V,3L,2014-37875
CMSC 150,1,2008-2009,V,4L,2017-67016
CMSC 130,2,2010-2011,V,3L,2018-98202
CMSC 190-2,2,2015-2016,U,1L,2019-11283
CMSC 165,1,2011-2012,Y,2L,2016-20312
CMSC 125,2,2007-2008,X,1L,2015-79774
CMSC 11,1,2010-2011,Y,5L,2011-54304
CMSC 150,1,2009-2010,Y,6L,2019-44924
CMSC 21,2,2008-2009,V,2L,2010-81280
CMSC 132,1,2008-2009,W,2L,2016-23836
CMSC 125,1,2009-2010,W,4L,2013-31264
CMSC 190-2,1,2014-2015,Z,4L,2017-83992
CMSC 124,2,2006-2007,Z,1L,2018-11372
CMSC 124,2,2010-2011,X,1L,2015-62345
CMSC 11,2,2014-2015,X,2L,2015-08422
CMSC 198,2,2007-2008,V,2L,2018-89079
CMSC 161,2,2013-2014,W,6L,2017-77155
CMSC 131,1,2013-2014,V,3L,2019-96414
CMSC 2,2,2010-2011,Z,5L,2017-23137
CMSC 124,2,2014-2015,X,5L,2012-53773
CMSC 22,1,2013-2014,Z,4L,2019-01825
CMSC 22,2,2009-2010,Y,1L,2015-70990
CMSC 21,2,2012-2013,Z,4L,2012-40824
CMSC 11,2,2014-2015,W,5L,2014-47780
CMSC 11,2,2009-2010,Y,2L,2019-98932
CMSC 21,2,2010-2011,U,1L,2013-89906
CMSC 161,1,2011-2012,Z,2L,2016-57949
CMSC 132,1,2015-2016,U,4L,2011-63210
CMSC 125,1,2007-2008,U,4L,2017-36946
CMSC 124,1,2009-2010,U,5L,2012-42162
CMSC 125,2,2014-2015,Z,5L,2010-71307
CMSC 170,1,2013-2014,U,1L,2014-10085
CMSC 165,1,2009-2010,W,3L,2018-27358
CMSC 190-2,1,2011-2012,V,4L,2019-56142
CMSC 22,2,2014-2015,X,3L,2012-30493
CMSC 125,2,2007-2008,Z,2L,2011-63938
CMSC 22,2,2012-2013,Y,2L,2018-63681
CMSC 11,1,2015-2016,X,4L,2015-81840
CMSC 191,2,2013-2014,X,5L,2019-55781
CMSC 11,1,2011-2012,Y,2L,2016-56226
CMSC 124,1,2014-2015,U,5L,2011-48355
CMSC 11,2,2008-2009,U,2L,2011-77218
CMSC 22,1,2010-2011,X,2L,2017-73628
CMSC 190-2,2,2014-2015,Z,5L,2014-27111
CMSC 198,1,2014-2015,U,2L,2012-32781
CMSC 2,2,2009-2010,V,3L,2015-62902
CMSC 2,1,2008-2009,W,1L,2016-80987
CMSC 22,1,2015-2016,X,4L,2014-71216
CMSC 128,2,2012-2013,Z,5L,2017-02875
CMSC 123,1,2010-2011,V,3L,2015-81066
CMSC 123,2,2013-2014,U,6L,2012-42679
CMSC 170,2,2011-2012,X,4L,2019-62844
CMSC 125,1,2012-2013,Y,4L,2013-64765
CMSC 22,2,2013-2014,Z,1L,2011-54133
CMSC 128,2,2014-2015,X,6L,2019-48504
CMSC 198,1,2007-2008,X,2L,2010-00728
CMSC 150,2,2015-2016,Z,3L,2012-84409
CMSC 191,1,2006-2007,V,5L,2011-16464
CMSC 21,2,2009-2010,Y,1L,2017-77297
CMSC 161,1,2011-2012,X,4L,2011-32904
CMSC 165,1,2008-2009,Y,6L,2011-00911
CMSC 130,1,2009-2010,W,1L,2010-61777
CMSC 21,2,2008-2009,U,3L,2016-05371
CMSC 125,2,2012-2013,W,6L,2011-20463
CMSC 21,1,2009-2010,Y,5L,2013-64174
CMSC 128,1,2007-2008,Z,6L,2013-57597
CMSC 2,1,2008-2009,Y,1L,2018-96149
CMSC 165,2,2006-2007,W,3L,2010-18597
CMSC 21,1,2006-2007,U,5L,2014-12657
CMSC 165,2,2009-2010,X,3L,2017-87511
CMSC 170,2,2014-2015,Y,6L,2012-76256
CMSC 191,2,2014-2015,V,5L,2015-52520
CMSC 21,1,2006-2007,V,3L,2017-72783
CMSC 125,1,2008-2009,W,3L,2014-70480
CMSC 123,2,2012-2013,Y,3L,2017-62255
CMSC 161,2,2012-2013,W,3L,2014-23625
CMSC 170,2,2010-2011,X,5L,2012-39813
CMSC 191,1,2006-2007,U,3L,2019-03896
CMSC 165,1,2014-2015,X,3L,2012-94929
CMSC 123,1,2013-2014,U,5L,2018-16999
CMSC 124,2,2009-2010,U,6L,2012-31897
CMSC 170,1,2010-2011,V,3L,2016-07970
CMSC 131,2,2010-2011,X,3L,2017-97381
CMSC 123,2,2009-2010,V,3L,2018-78741
CMSC 132,1,2007-2008,Y,1L,2016-00327
CMSC 190-1,2,2013-2014,X,5L,2018-50992
CMSC 191,2,2014-2015,Z,6L,2019-78857
CMSC 191,1,2008-2009,X,2L,2019-94272
CMSC 170,2,2006-2007,W,6L,2010-94327
CMSC 128,1,2010-2011,W,6L,2016-77948
CMSC 150,1,2008-2009,Y,6L,2016-64394
CMSC 150,2,2015-2016,X,6L,2015-01765
CMSC 198,2,2013-2014,Y,4L,2017-49595
CMSC 190-2,1,2012-2013,X,3L,2015-49935
CMSC 21,2,2008-2009,Z,4L,2016-48762
CMSC 11,2,2014-2015,V,2L,2017-43231
CMSC 165,2,2015-2016,W,1L,2013-89487
CMSC 190-1,2,2014-2015,Y,3L,2011-39849
CMSC 21,2,2007-2008,W,1L,2012-63825
CMSC 130,1,2006-2007,X,5L,2012-06229
CMSC 130,1,2010-2011,X,3L,2010-97723
CMSC 132,1,2013-2014,Y,2L,2018-24834
CMSC 130,2,2009-2010,X,5L,2018-99448
CMSC 190-1,1,2009-2010,Z,3L,2016-57864
CMSC 132,1,2012-2013,Y,1L,2015-16021
CMSC 161,2,2006-2007,W,1L,2014-55169
CMSC 125,2,2010-2011,Y,3L,2011-38119
CMSC 131,2,2007-2008,Z,3L,2012-43363
CMSC 123,1,2008-2009,Z,4L,2016-23082
CMSC 191,2,2007-2008,W,3L,2011-72231
CMSC 150,1,2014-2015,V,4L,2016-91815
CMSC 161,2,2009-2010,X,3L,2014-76757
CMSC 190-2,2,2014-2015,W,1L,2011-09164
CMSC 2,2,2010-2011,Z,4L,2015-60685
CMSC 198,1,2014-2015,Z,2L,2012-12954
CMSC 11,2,2012-2013,X,3L,2014-19352
CMSC 198,2,2015-2016,U,5L,2017-83985
CMSC 150,2,2015-2016,U,6L,2019-15015
CMSC 132,2,2008-2009,X,3L,2011-69267
CMSC 21,2,2007-2008,Y,2L,2011-72954
CMSC 123,1,2011-2012,W,1L,2012-25847
CMSC 190-1,1,2015-2016,Z,6L,2016-51880
CMSC 161,2,2008-2009,W,4L,2013-35626
CMSC 2,2,2011-2012,Y,2L,2019-93679
CMSC 125,2,2007-2008,U,4L,2017-96149
CMSC 22,2,2006-2007,V,4L,2014-39720
CMSC 124,1,2006-2007,X,1L,2012-22100
CMSC 170,1,2006-2007,W,4L,2011-63870
CMSC 170,2,2015-2016,Y,2L,2010-03253
CMSC 191,1,2007-2008,U,6L,2016-05355
CMSC 131,1,2007-2008,U,6L,2012-34177
CMSC 11,1,2010-2011,U,6L,2019-71140
CMSC 125,1,2011-2012,Y,1L,2014-90886
CMSC 11,1,2015-2016,Y,1L,2019-76534
CMSC 131,1,2013-2014,U,5L,2018-22540
CMSC 131,1,2010-2011,X,6L,2015-30336
CMSC 125,1,2009-2010,U,5L,2012-37209
CMSC 131,2,2014-2015,Y,4L,2014-04899
CMSC 150,2,2013-2014,U,3L,2019-46744
CMSC 22,1,2013-2014,X,2L,2011-41309
CMSC 123,1,2010-2011,Z,1L,2016-12272
CMSC 132,2,2014-2015,Z,2L,2011-14767
CMSC 150,2,2010-2011,Y,3L,2017-81094
CMSC 130,2,2007-2008,W,3L,2012-36674
CMSC 198,1,2011-2012,U,3L,2018-09214
CMSC 2,2,2007-2008,W,2L,2013-08858
CMSC 165,2,2006-2007,V,6L,2013-15151
CMSC 190-1,2,2012-2013,X,5L,2015-02768
CMSC 22,1,2006-2007,V,2L,2012-07791
CMSC 190-2,1,2006-2007,Y,3L,2012-68268
CMSC 22,2,2007-2008,U,1L,2010-09913
CMSC 128,1,2007-2008,Z,1L,2016-71514
CMSC 132,2,2011-2012,Y,1L,2012-26475
CMSC 165,2,2011-2012,V,2L,2013-98486
CMSC 190-1,1,2013-2014,Z,2L,2019-71018
CMSC 190-2,1,2009-2010,W,6L,2016-78579
CMSC 2,2,2008-2009,Z,1L,2013-06644
CMSC 161,1,2009-2010,Y,3L,2016-04684
CMSC 21,2,2012-2013,Z,2L,2010-02434
CMSC 131,1,2009-2010,Y,4L,2015-42998
CMSC 132,1,2015-2016,U,4L,2017-22191
CMSC 123,1,2008-2009,Z,6L,2018-00890
CMSC 198,1,2014-2015,X,2L,2012-03569
CMSC 128,2,2007-2008,X,1L,2012-68311
CMSC 190-1,1,2011-2012,Y,4L,2010-48057
CMSC 130,1,2009-2010,Y,4L,2010-26592
CMSC 130,1,2009-2010,V,3L,2012-14682
CMSC 165,2,2012-2013,X,3L,2017-06687
CMSC 21,1,2008-2009,X,5L,2012-81057
CMSC 161,1,2012-2013,Y,3L,2019-80213
CMSC 170,1,2011-2012,W,5L,2015-98833
CMSC 161,1,2013-2014,X,1L,2010-43457
CMSC 198,1,2006-2007,Z,1L,2019-03396
CMSC 123,2,2007-2008,U,3L,2011-10099
CMSC 2,2,2011-2012,Z,6L,2011-48678
CMSC 123,2,2015-2016,Z,2L,2015-12316
CMSC 130,1,2011-2012,W,2L,2019-57769
CMSC 190-2,1,2011-2012,U,4L,2012-31200
CMSC 21,2,2006-2007,X,3L,2018-56676
CMSC 128,2,2010-2011,V,4L,2016-10703
CMSC 161,2,2008-2009,Z,2L,2012-38338
CMSC 161,2,2009-2010,W,3L,2011-67339
CMSC 132,2,2012-2013,Z,2L,2019-97087
CMSC 130,1,2006-2007,U,6L,2013-14993
CMSC 11,1,2014-2015,Z,5L,2017-10839
CMSC 190-2,1,2010-2011,W,1L,2016-23879
CMSC 165,2,2015-2016,V,2L,2019-86642
CMSC 11,1,2011-2012,U,5L,2011-56898
CMSC 150,1,2008-2009,V,2L,2011-81300
CMSC 11,2,2008-2009,Z,4L,2010-89417
CMSC 190-1,1,2007-2008,U,5L,2011-03705
CMSC 11,2,2012-2013,Z,5L,2016-38341
CMSC 11,2,2007-2008,U,4L,2019-94642
CMSC 161,2,2011-2012,V,3L,2010-64919
CMSC 132,2,2011-2012,X,3L,2019-69863
CMSC 198,2,2006-2007,X,6L,2012-33652
CMSC 123,2,2009-2010,X,5L,2015-89435
CMSC 130,2,2011-2012,Y,1L,2013-34068
CMSC 161,2,2015-2016,U,4L,2019-54088
CMSC 130,2,2009-2010,Y,6L,2019-62233
CMSC 190-1,2,2014-2015,X,6L,2019-49872
CMSC 128,2,2009-2010,W,5L,2018-65209
CMSC 130,1,2012-2013,V,1L,2019-70328
CMSC 128,2,2015-2016,U,3L,2016-11047
CMSC 11,1,2012-2013,U,5L,2017-73657
CMSC 123,1,2011-2012,V,6L,2012-64506
CMSC 132,1,2011-2012,V,2L,2011-36312
CMSC 128,1,2006-2007,Z,4L,2014-99798
CMSC 150,2,2010-2011,V,3L,2019-58528
CMSC 124,1,2012-2013,Z,2L,2015-92342
CMSC 191,2,2011-2012,U,5L,2014-62792
CMSC 161,1,2012-2013,Z,3L,2012-94278
CMSC 191,1,2010-2011,X,6L,2010-99376
CMSC 198,1,2011-2012,Z,4L,2016-51924
CMSC 2,1,2010-2011,U,6L,2011-55377
CMSC 161,1,2009-2010,X,6L,2011-02201
CMSC 131,2,2008-2009,U,5L,2015-97579
CMSC 161,1,2009-2010,Z,6L,2015-22802
CMSC 124,1,2009-2010,Y,5L,2012-87655
CMSC 165,2,2013-2014,Z,2L,2015-28532
CMSC 150,2,2009-2010,X,6L,2012-63748
CMSC 124,2,2007-2008,X,3L,2012-18313
CMSC 11,2,2012-2013,Z,3L,2016-11293
CMSC 130,1,2011-2012,V,5L,2012-93533
CMSC 191,2,2010-2011,V,4L,2010-50504
CMSC 11,2,2015-2016,Z,2L,2012-51820
CMSC 123,1,2012-2013,V,2L,2019-74733
CMSC 191,2,2011-2012,V,3L,2016-44996
CMSC 22,1,2010-2011,V,1L,2014-85634
CMSC 128,2,2010-2011,W,1L,2014-51444
CMSC 150,2,2010-2011,U,1L,2018-90510
CMSC 165,2,2015-2016,V,4L,2012-48503
CMSC 22,2,2010-2011,V,3L,2015-57613
CMSC 165,1,2012-2013,U,5L,2014-39170
CMSC 131,1,2010-2011,W,2L,2013-14999
CMSC 21,1,2015-2016,Z,5L,2018-42157
CMSC 11,2,2013-2014,V,1L,2010-20178
CMSC 198,1,2011-2012,Y,5L,2014-14531
CMSC 2,2,2006-2007,U,5L,2018-48854
CMSC 132,1,2006-2007,W,5L,2012-38453
CMSC 170,2,2007-2008,U,4L,2010-67446
CMSC 124,2,2008-2009,Y,2L,2018-71652
CMSC 11,2,2006-2007,U,5L,2014-51595
CMSC 190-2,1,2013-2014,V,3L,2015-26012
CMSC 22,2,2014-2015,Y,6L,2017-22154
CMSC 22,1,2008-2009,X,6L,2011-73529
CMSC 130,1,2015-2016,Y,4L,2019-50326
CMSC 124,2,2007-2008,V,6L,2013-22344
CMSC 132,2,2008-2009,V,5L,2012-29684
CMSC 150,1,2006-2007,Y,3L,2018-37451
CMSC 190-1,2,2015-2016,W,6L,2019-74359
CMSC 130,2,2013-2014,Y,5L,2011-36447
CMSC 130,2,2008-2009,V,2L,2012-25139
CMSC 2,1,2009-2010,W,3L,2014-58339
CMSC 130,1,2008-2009,X,2L,2014-10131
CMSC 2,1,2008-2009,W,3L,2012-89537
CMSC 132,1,2009-2010,X,1L,2018-73460
CMSC 11,1,2010-2011,V,6L,2012-05282
CMSC 132,2,2014-2015,V,4L,2018-78024
CMSC 22,2,2008-2009,Y,2L,2014-11856
CMSC 11,1,2009-2010,W,3L,2011-09342
CMSC 2,2,2015-2016,U,4L,2013-15715
CMSC 11,2,2009-2010,Y,5L,2019-62995
CMSC 11,2,2008-2009,U,2L,2018-12157
CMSC 161,2,2012-2013,Y,1L,2013-69096
CMSC 11,1,2015-2016,X,4L,2010-72998
CMSC 125,2,2015-2016,V,1L,2011-05224
CMSC 198,2,2008-2009,Y,2L,2014-29203
CMSC 11,1,2007-2008,Z,4L,2011-46116
CMSC 165,2,2006-2007,X,3L,2010-52286
CMSC 150,1,2015-2016,V,5L,2013-02591
CMSC 124,1,2006-2007,Z,4L,2015-21753
CMSC 132,2,2015-2016,V,5L,2013-15580
CMSC 190-2,1,2011-2012,U,2L,2018-42713
CMSC 11,2,2008-2009,Z,6L,2014-30187
CMSC 190-2,2,2007-2008,U,3L,2018-72101
CMSC 21,2,2007-2008,Z,5L,2010-87446
CMSC 123,2,2006-2007,U,3L,2018-55534
CMSC 190-1,2,2006-2007,Y,6L,2010-34433
CMSC 131,1,2007-2008,Y,6L,2016-23900
CMSC 170,1,2006-2007,U,4L,2019-62828
CMSC 2,1,2008-2009,U,4L,2019-40960
CMSC 161,1,2008-2009,Z,6L,2017-51825
CMSC 150,2,2006-2007,X,2L,2013-92857
CMSC 131,1,2007-2008,W,1L,2010-85469
CMSC 21,1,2009-2010,V,5L,2016-57117
CMSC 165,2,2013-2014,Y,3L,2013-30749
CMSC 22,2,2012-2013,V,3L,2011-50161
CMSC 128,2,2010-2011,U,2L,2014-01939
CMSC 191,2,2011-2012,Y,6L,2017-49944
CMSC 124,2,2011-2012,Z,1L,2012-91548
CMSC 150,1,2008-2009,V,5L,2018-21131
CMSC 161,2,2007-2008,Y,3L,2014-20277
CMSC 11,1,2006-2007,Z,2L,2011-43634
CMSC 125,1,2010-2011,X,1L,2012-08824
CMSC 125,2,2010-2011,U,4L,2014-26328
CMSC 22,2,2013-2014,Z,5L,2016-52176
CMSC 2,2,2011-2012,X,5L,2016-58188
CMSC 128,1,2007-2008,X,5L,2019-87995
CMSC 190-1,1,2009-2010,V,4L,2019-31010
CMSC 21,1,2015-2016,Z,1L,2016-53789
CMSC 161,1,2014-2015,Y,2L,2011-21766
CMSC 22,1,2014-2015,W,3L,2015-36062
CMSC 130,2,2015-2016,U,2L,2013-95223
CMSC 150,2,2011-2012,Y,1L,2016-00504
CMSC 190-1,2,2010-2011,W,4L,2013-69181
CMSC 128,2,2011-2012,Z,5L,2015-31213
CMSC 130,1,2008-2009,V,5L,2018-52926
CMSC 123,2,2014-2015,V,1L,2015-17502
CMSC 124,2,2012-2013,Z,1L,2018-19380
CMSC 124,2,2009-2010,Y,6L,2011-37730
CMSC 161,2,2013-2014,W,2L,2014-39587
CMSC 130,1,2008-2009,V,3L,2010-86166
CMSC 21,2,2011-2012,W,2L,2012-08497
CMSC 125,1,2006-2007,Z,5L,2011-82367
CMSC 11,2,2013-2014,X,4L,2018-22671
CMSC 161,1,2011-2012,Y,1L,2013-81608
CMSC 130,2,2007-2008,Z,5L,2013-51054
CMSC 21,1,2008-2009,V,2L,2010-47698
CMSC 132,1,2011-2012,W,1L,2014-39464
CMSC 124,2,2008-2009,Z,1L,2015-91538
CMSC 124,1,2007-2008,U,5L,2018-89199
CMSC 191,2,2012-2013,X,6L,2015-20709
CMSC 150,2,2012-2013,Y,2L,2010-93150
CMSC 124,1,2014-2015,W,2L,2016-16868
CMSC 191,2,2008-2009,U,6L,2017-40951
CMSC 22,2,2015-2016,W,5L,2013-14846
CMSC 150,1,2014-2015,Y,2L,2012-83707
CMSC 170,2,2014-2015,W,3L,2010-41643
CMSC 124,1,2015-2016,W,6L,2015-95878
CMSC 165,1,2006-2007,W,5L,2015-53313
CMSC 124,1,2009-2010,W,6L,2014-40210
CMSC 170,1,2013-2014,Y,3L,2011-26047
CMSC 161,2,2010-2011,X,1L,2012-95972
CMSC 2,1,2006-2007,W,4L,2016-15850
CMSC 161,2,2007-2008,Y,1L,2019-04308
CMSC 125,2,2007-2008,V,2L,2015-39946
CMSC 2,2,2009-2010,V,1L,2016-96150
CMSC 190-1,1,2015-2016,U,1L,2010-85094
CMSC 124,2,2007-2008,V,3L,2010-26842
CMSC 150,1,2008-2009,V,1L,2019-94443
CMSC 170,2,2010-2011,X,2L,2010-83440
CMSC 190-2,2,2006-2007,V,1L,2011-56145
CMSC 2,1,2007-2008,W,3L,2014-37886
CMSC 165,1,2015-2016,Z,2L,2018-96350
CMSC 161,1,2012-2013,U,2L,2018-49398
CMSC 128,1,2011-2012,V,6L,2013-14956
CMSC 2,2,2014-2015,W,1L,2016-91432
CMSC 150,2,2008-2009,X,3L,2011-98025
CMSC 150,2,2009-2010,U,3L,2017-96967
CMSC 22,2,2008-2009,X,2L,2018-45332
CMSC 150,2,2008-2009,X,6L,2011-78558
CMSC 132,2,2007-2008,X,2L,2013-12760
CMSC 125,1,2011-2012,V,6L,2013-29069
CMSC 132,2,2011-2012,W,2L,2014-18066
CMSC 198,2,2010-2011,W,3L,2017-23343
